epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1897.6,1.41736,1.35768,0.00571,0.68662,0.42916,0.48595,0.34199,1.8502,1.96231,0.00993,0.0012862,0.0012862,0.0012862
43,1945.76,1.47001,1.39741,0.00606,0.64116,0.42779,0.47802,0.32746,1.72956,2.13031,0.00911,0.0012562,0.0012562,0.0012562
44,1990.83,1.46138,1.38285,0.00569,0.75219,0.42366,0.49582,0.35213,1.86853,1.91085,0.01098,0.00122596,0.00122596,0.00122596
45,2037.12,1.37212,1.34027,0.00561,0.67441,0.43307,0.48098,0.33502,1.6959,2.31625,0.00937,0.00119551,0.00119551,0.00119551
46,2082.32,1.4356,1.3881,0.00569,0.71003,0.41265,0.48936,0.34136,1.75406,1.91505,0.01102,0.00116487,0.00116487,0.00116487
47,2126.53,1.4304,1.36039,0.0055,0.65559,0.44704,0.48542,0.34979,1.67638,1.9332,0.01078,0.00113408,0.00113408,0.00113408
48,2173.18,1.42244,1.34437,0.00543,0.7385,0.42641,0.50276,0.35769,1.6927,1.81691,0.01038,0.00110317,0.00110317,0.00110317
49,2218.88,1.38521,1.29358,0.00544,0.7692,0.43466,0.50644,0.35891,1.77587,2.25841,0.01034,0.00107216,0.00107216,0.00107216
50,2264.75,1.3613,1.32442,0.00555,0.65533,0.46552,0.50737,0.35874,1.71488,2.19374,0.00995,0.0010411,0.0010411,0.0010411
51,2311.06,1.35854,1.32472,0.00549,0.66613,0.46355,0.51109,0.36598,1.77103,2.42905,0.01023,0.00101,0.00101,0.00101
52,2356.94,1.31885,1.24633,0.00514,0.70006,0.44429,0.50174,0.36793,1.70944,2.2884,0.00975,0.000978903,0.000978903,0.000978903
53,2402.44,1.38047,1.2528,0.00529,0.7051,0.40781,0.47061,0.33198,1.75618,2.23299,0.01043,0.000947837,0.000947837,0.000947837
54,2447.45,1.36204,1.25722,0.00507,0.68749,0.44429,0.50926,0.36616,1.87468,2.15734,0.01122,0.000916833,0.000916833,0.000916833
55,2493.22,1.33191,1.22975,0.00534,0.6778,0.4553,0.50605,0.36369,1.76886,2.24496,0.01033,0.00088592,0.00088592,0.00088592
56,2540.99,1.33112,1.23858,0.00502,0.62231,0.46217,0.49498,0.35929,1.83486,2.3176,0.01142,0.00085513,0.00085513,0.00085513
57,2587.2,1.33084,1.24514,0.0051,0.70646,0.45667,0.51786,0.36777,1.67535,2.15111,0.00989,0.000824492,0.000824492,0.000824492
58,2632.7,1.35105,1.20639,0.00486,0.68691,0.45872,0.51277,0.36727,1.63124,2.26571,0.00951,0.000794038,0.000794038,0.000794038
59,2679.46,1.29771,1.19309,0.00509,0.75546,0.42503,0.4968,0.36064,1.81426,2.17331,0.01117,0.000763797,0.000763797,0.000763797
60,2724.46,1.31541,1.17934,0.00523,0.70607,0.42955,0.49503,0.36008,1.73047,2.37067,0.00984,0.000733799,0.000733799,0.000733799
61,2770.82,1.30772,1.1525,0.00484,0.76104,0.42366,0.50487,0.36875,1.79895,2.27493,0.01035,0.000704073,0.000704073,0.000704073
62,2814.9,1.28258,1.13008,0.00493,0.77636,0.4393,0.52627,0.38133,1.60706,2.17766,0.00997,0.000674649,0.000674649,0.000674649
63,2860.61,1.2878,1.14262,0.00485,0.71848,0.4718,0.52644,0.3866,1.75737,2.14348,0.01016,0.000645557,0.000645557,0.000645557
64,2903.89,1.27714,1.12195,0.00494,0.74565,0.44761,0.52464,0.38359,1.74611,2.11786,0.01103,0.000616824,0.000616824,0.000616824
65,2949.11,1.30064,1.13266,0.00454,0.71967,0.46966,0.52917,0.39101,1.7246,2.08396,0.01011,0.000588479,0.000588479,0.000588479
66,2993.2,1.28343,1.13171,0.00457,0.7497,0.44567,0.52339,0.38403,1.7482,2.02615,0.00993,0.000560549,0.000560549,0.000560549
67,3037.44,1.23663,1.08833,0.00444,0.69346,0.47868,0.52217,0.38171,1.70166,2.20043,0.00936,0.000533064,0.000533064,0.000533064
68,3081.08,1.27142,1.07037,0.00438,0.74718,0.45942,0.53015,0.38447,1.82687,2.142,0.01004,0.000506049,0.000506049,0.000506049
69,3125.14,1.25025,1.08119,0.00433,0.73801,0.44842,0.52599,0.38488,1.77026,2.21329,0.01025,0.000479531,0.000479531,0.000479531
70,3169.23,1.2248,1.04737,0.0047,0.66722,0.4909,0.52419,0.38729,1.69146,2.08051,0.0088,0.000453537,0.000453537,0.000453537
71,3213.13,1.24971,1.08177,0.00449,0.69186,0.46492,0.51991,0.3805,1.71726,2.26884,0.00988,0.000428093,0.000428093,0.000428093
72,3256.67,1.21306,1.04052,0.00435,0.66607,0.49656,0.52925,0.38826,1.77623,1.98864,0.01021,0.000403222,0.000403222,0.000403222
73,3299.74,1.20875,1.00885,0.00438,0.70486,0.45392,0.51332,0.37706,1.77222,2.19406,0.00973,0.00037895,0.00037895,0.00037895
74,3341.48,1.23247,1.03816,0.00413,0.71452,0.46905,0.52927,0.39052,1.6493,2.12238,0.00896,0.000355301,0.000355301,0.000355301
75,3383.34,1.22744,1.02044,0.00441,0.74829,0.45392,0.52283,0.3823,1.72287,2.15076,0.00928,0.000332298,0.000332298,0.000332298
76,3425.8,1.19558,0.99789,0.00414,0.68674,0.48831,0.53387,0.39032,1.67633,1.96172,0.00959,0.000309964,0.000309964,0.000309964
77,3467.79,1.19768,1.01666,0.00427,0.68738,0.47318,0.53161,0.38922,1.62221,2.08499,0.00885,0.000288321,0.000288321,0.000288321
78,3510.61,1.19848,1.0027,0.00427,0.72555,0.4718,0.53496,0.3915,1.65204,2.06358,0.00909,0.00026739,0.00026739,0.00026739
79,3552.85,1.17789,0.98381,0.00401,0.70706,0.48006,0.53529,0.39465,1.7324,2.09773,0.00938,0.000247192,0.000247192,0.000247192
80,3596.17,1.22479,0.9867,0.00404,0.73754,0.45611,0.5351,0.39348,1.75209,2.06251,0.00969,0.000227747,0.000227747,0.000227747
81,3639.5,1.19777,0.96667,0.00408,0.69303,0.48444,0.53498,0.39134,1.73444,1.95605,0.00984,0.000209073,0.000209073,0.000209073
82,3682.34,1.1734,0.95371,0.00429,0.69532,0.48143,0.54309,0.40003,1.70309,1.94763,0.00966,0.00019119,0.00019119,0.00019119
83,3724.53,1.19416,0.98419,0.00407,0.7104,0.48251,0.53671,0.39536,1.74921,2.01626,0.00976,0.000174115,0.000174115,0.000174115
84,3766.81,1.15623,0.95024,0.00395,0.68843,0.48143,0.53129,0.39176,1.7233,2.00432,0.00978,0.000157865,0.000157865,0.000157865
85,3808.1,1.19952,0.97363,0.00406,0.72215,0.47905,0.54156,0.40014,1.71325,1.97793,0.0096,0.000142456,0.000142456,0.000142456
86,3851.15,1.16178,0.98564,0.00408,0.69856,0.48831,0.53767,0.3976,1.75979,2.04567,0.00956,0.000127904,0.000127904,0.000127904
87,3895.02,1.13432,0.9471,0.00405,0.72621,0.48556,0.53916,0.39843,1.71591,1.96426,0.00941,0.000114221,0.000114221,0.000114221
88,3939.07,1.16375,0.95372,0.00395,0.70782,0.49381,0.54433,0.40089,1.71046,1.95719,0.00953,0.000101423,0.000101423,0.000101423
89,3981.12,1.18164,0.93778,0.00403,0.71534,0.48693,0.53631,0.39668,1.73163,2.01273,0.00969,8.95213e-05,8.95213e-05,8.95213e-05
90,4024.21,1.1399,0.95168,0.00409,0.70574,0.48281,0.53475,0.39613,1.71404,2.02236,0.00954,7.8528e-05,7.8528e-05,7.8528e-05
91,4071.29,1.07117,0.95534,0.00413,0.66217,0.488,0.52274,0.38702,1.67755,1.96384,0.00961,6.8454e-05,6.8454e-05,6.8454e-05
92,4114.25,1.08689,0.89306,0.00388,0.67361,0.47124,0.51438,0.38179,1.68686,2.00339,0.00976,5.93093e-05,5.93093e-05,5.93093e-05
93,4155.58,1.08472,0.89805,0.00391,0.67943,0.46905,0.51506,0.3817,1.68668,2.01193,0.0098,5.11027e-05,5.11027e-05,5.11027e-05
94,4197.75,1.08743,0.88703,0.00414,0.65275,0.48281,0.51866,0.3836,1.68056,2.01922,0.00981,4.38424e-05,4.38424e-05,4.38424e-05
95,4238.35,1.07628,0.84187,0.00392,0.64881,0.48831,0.52424,0.3899,1.67812,2.00261,0.00979,3.75356e-05,3.75356e-05,3.75356e-05
96,4279.13,1.08067,0.86871,0.00389,0.69295,0.47184,0.52467,0.38995,1.69431,2.01439,0.00983,3.21885e-05,3.21885e-05,3.21885e-05
97,4319.88,1.0665,0.84177,0.00372,0.6472,0.49106,0.52279,0.38875,1.68302,2.00632,0.00979,2.78064e-05,2.78064e-05,2.78064e-05
98,4360.6,1.06949,0.84296,0.0037,0.66676,0.48006,0.52273,0.38855,1.68073,1.99743,0.00979,2.43937e-05,2.43937e-05,2.43937e-05
99,4401.78,1.05344,0.84493,0.00364,0.67463,0.48006,0.52416,0.38941,1.69177,1.99778,0.00981,2.19535e-05,2.19535e-05,2.19535e-05
100,4443.6,1.05008,0.85176,0.00373,0.66431,0.48454,0.52538,0.39095,1.68373,1.99691,0.00977,2.04885e-05,2.04885e-05,2.04885e-05
